model,precision@10,recall@10,ndcg@10,mrr@10,hit_rate@10,catalog_coverage,novelty,diversity,n_users_evaluated,n_users_no_recs
content_based_backfilled,0.03436499466382071,0.07075646694109874,0.06199297082932095,0.11824443936236892,0.2657417289220918,0.2775756788359101,8.380830764633709,0.31598475983485114,1874,0
user_user_cf_backfilled,0.022732123799359658,0.04758304958411682,0.03852708959840623,0.07354059731327607,0.19903948772678762,0.14856437573080422,5.8721460719019065,0.813319112143029,1874,0
item_item_cf_backfilled,0.01392742796157951,0.026139443682133116,0.022873800780729668,0.0460832020463824,0.11846318036286019,0.03092113810575549,4.977506320182475,0.7623346746683454,1874,0
friend_based_backfilled,0.08452508004268945,0.17346944825600108,0.17011219817456652,0.3007191136860294,0.4855923159018143,0.1649993503962583,4.824468298411698,0.7010837542442686,1874,0
