model,precision@10,recall@10,ndcg@10,mrr@10,hit_rate@10,catalog_coverage,novelty,diversity,popularity_bias,n_users_evaluated,n_users_no_recs,seconds
most_popular,0.04919957310565634,0.10097131168369163,0.08759238418784393,0.1515832782775152,0.31856990394877266,0.001688969728465636,2.431359064319438,0.6379538251149943,0.9995952972149962,1874,0,3.4
most_played,0.04332977588046959,0.08908349003066185,0.07469972515909178,0.1288026630075723,0.3052294557097118,0.001753930102637391,2.713771278231343,0.6913792638582918,0.9990447848655689,1874,0,1.0
random,0.0003735325506937033,0.0006128136064101912,0.0004900048143808228,0.0009893107011570191,0.003735325506937033,0.7004027543198649,10.007090795684569,0.9904227548351243,0.5009959010246159,1874,0,2.2
content_based,0.03436499466382071,0.07075646694109874,0.06199297082932095,0.11824443936236892,0.2657417289220918,0.2775756788359101,8.387209408600231,0.31561913900888344,0.661746557533238,1874,2,3.0
content_based_raw,0.044930629669156875,0.09168741847503853,0.08464778214222674,0.1610909945621792,0.3233724653148346,0.20910744445888008,7.333217879068584,0.3208656327888253,0.7671713031051058,1874,2,6.0
user_user_cf,0.02097118463180363,0.04367980383188494,0.035410587077395785,0.06720240212769561,0.1824973319103522,0.14856437573080422,6.66557244424028,0.8536410841516674,0.8781029992344775,1874,346,4.0
item_item_cf,0.014140875133404483,0.026139443682133116,0.022873800780729668,0.0460832020463824,0.11846318036286019,0.03092113810575549,5.034398870732312,0.7645731622265984,0.9833716482505808,1874,33,1.2
matrix_factorization,0.13351120597652083,0.27564372956582134,0.26498238655043743,0.43829682709085055,0.6953041622198506,0.03884630375470963,4.0487519115102275,0.6365353109004696,0.9918902942833002,1874,0,2.0
friend_based,0.08452508004268945,0.17346944825600108,0.17011219817456652,0.3007191136860294,0.4855923159018143,0.1649993503962583,4.831027837958215,0.7008999028251973,0.9451041981244575,1874,0,1.6
graph_diffusion_social,0.08745997865528282,0.1796240534634345,0.17639906089845844,0.30937621758059325,0.49626467449306294,0.09484214629076264,3.9660582719881816,0.6436491119622468,0.9746955335756998,1874,0,3.8
hybrid_cf_social,0.0845784418356457,0.17357617184191357,0.17016451369528762,0.30077247547898556,0.48612593383137676,0.1649993503962583,4.8267149348614735,0.7011608317947423,0.9454281740029897,1874,0,2.3
matrix_factorization_mmr,0.12849519743863394,0.2663522132438888,0.25471280502843524,0.43429193982822584,0.6830309498399146,0.03780693776796154,4.067910027903841,0.741985227809803,0.9916373918143284,1874,0,175.1
hybrid_als_social,0.13271077908217718,0.27481450424353304,0.26463963341603225,0.4391787789466551,0.6937033084311632,0.04521242042354164,3.9228967147232456,0.6569355467851726,0.9909130023120633,1874,0,5.3
