split,model,precision@10,recall@10,ndcg@10,mrr@10,hit_rate@10,n_users_evaluated
random,most_popular,0.021001221001221,0.1043321317130841,0.06641881221373386,0.07572436381960192,0.18315018315018314,819
random,matrix_factorization,0.0496947496947497,0.2219964339011958,0.163627057977413,0.20437622342384248,0.3724053724053724,819
temporal,most_popular,0.012536873156342183,0.07022053659221801,0.04558176719850913,0.05059114107786674,0.11356932153392331,678
temporal,matrix_factorization,0.023303834808259587,0.13215690405955893,0.08145311741812536,0.08596888607950555,0.21238938053097345,678
